TIPO DE MORTE;HORA;BAIRRO DA OCORRENCIA;LOGRADOURO DA OCORRENCIA;GENERO;ETNIA;IDADE;PROFISSAO;ESCOLARIDADE;INSTRUMENTO UTILIZADO;MES;DIA;DIA DA SEMANA;FAIXA ;HORARIO APROXIMADO;TURNO
HOMICIDIO;19:38;AREIA PRETA;R VEREADOR JOAO SAORES DE ARAUJO;MASCULINO;BRANCA;19;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;fevereiro;13;quinta-feira;ADULTO;20;NOTURNO
HOMICIDIO;22:55;AREIA PRETA;AV GOVERNADOR SILVIO PEDROSA;MASCULINO;NEGRA;31;DECORADOR;SUPERIOR;ARMA DE FOGO;janeiro;11;sábado;ADULTO;23;NOTURNO
HOMICIDIO;18:00;BARRO VERMELHO;R HERACLITO VILAR, 825;MASCULINO;PARDA;19;VIGILANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;setembro;17;quarta-feira;ADULTO;18;VESPERTINO
HOMICIDIO;23:38;BOM PASTOR;ENCONTRADO NA R BIANOR MEDEIROS - EM FRENTE AO Nº 131;MASCULINO;PARDA;46;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;setembro;14;domingo;ADULTO;24;NOTURNO
HOMICIDIO;NI;BOM PASTOR;R JOSE FLOR TAVARES EM FRENTE Nº 21;MASCULINO;PARDA;21;AUXILIAR DE MECANICO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;22;sábado;ADULTO;NI;NI
HOMICIDIO;18:00;BOM PASTOR;TV JERUSALEM;MASCULINO;PARDA;30;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;fevereiro;21;sexta-feira;ADULTO;18;VESPERTINO
HOMICIDIO;22:12;BOM PASTOR;R ANTONIO PINHEIRO;MASCULINO;NEGRA;27;MARCENEIRO;ENSINO MEDIO COMPLETO;ARMA DE FOGO;julho;5;sábado;ADULTO;22;NOTURNO
HOMICIDIO;19:44;BOM PASTOR;R CEL COELHO;MASCULINO;NEGRA;37;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;janeiro;19;domingo;ADULTO;20;NOTURNO
HOMICIDIO;NI;BOM PASTOR;R JERUSALEM S/N;MASCULINO;PARDA;33;FEIRANTE;NI;ARMA BRANCA;março;2;domingo;ADULTO;NI;NI
HOMICIDIO;18:00;BOM PASTOR;AV BOM PASTOR;MASCULINO;NEGRA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;novembro;26;quarta-feira;ADOLESCENTE;18;VESPERTINO
HOMICIDIO;18:00;BOM PASTOR;AV CAP MOR GOUVEIA;MASCULINO;NEGRA;24;NI;NI;ARMA DE FOGO;dezembro;10;quarta-feira;ADULTO;18;VESPERTINO
HOMICIDIO;22:05;BOM PASTOR;AV MANOEL MIRANDA;MASCULINO;NEGRA;32;NI;NI;ARMA DE FOGO;junho;15;domingo;ADULTO;22;NOTURNO
HOMICIDIO;19:26;BOM PASTOR;EM FRENTE A PRACA DO BEIJOQUEIRO;MASCULINO;PARDA;27;NI;NI;ARMA DE FOGO;dezembro;7;domingo;ADULTO;19;NOTURNO
HOMICIDIO;18:00;BOM PASTOR;EM FRENTE A PRACA DO BEIJOQUEIRO;MASCULINO;PARDA;35;NI;NI;ARMA DE FOGO;dezembro;7;domingo;ADULTO;18;VESPERTINO
HOMICIDIO;04:51;BOM PASTOR;EM FRENTE A PRACA DO BEIJOQUEIRO;MASCULINO;PARDA;15;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;dezembro;7;domingo;ADOLESCENTE;5;MADRUGADA
HOMICIDIO;21:02;BOM PASTOR;R DOS PAIATIS - NO BAR DO EDVALDO;MASCULINO;BRANCA;34;DESEMPREGADO;NI;ARMA DE FOGO;março;23;domingo;ADULTO;21;NOTURNO
HOMICIDIO;07:10;BOM PASTOR;R JERUSALEM;MASCULINO;NEGRA;39;NI;NI;ARMA DE FOGO;dezembro;28;domingo;ADULTO;7;MATUTINO
HOMICIDIO;18:00;BOM PASTOR;R MANOEL MAXIMO Nº 1575 - VILA SAO FRANCISCO;MASCULINO;BRANCA;26;NI;NI;ARMA DE FOGO;fevereiro;15;sábado;ADULTO;18;VESPERTINO
HOMICIDIO;21:48;BOM PASTOR;R SAMPAIO CORREIA;MASCULINO;PARDA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;novembro;9;domingo;ADOLESCENTE;22;NOTURNO
HOMICIDIO;18:00;BOM PASTOR;TV RIO PARAIBA, VILA TORRE;MASCULINO;PARDA;25;NI;NI;ARMA DE FOGO;dezembro;12;sexta-feira;ADULTO;18;VESPERTINO
HOMICIDIO;17:59;BOM PASTOR;VIA PUBLICA;MASCULINO;NEGRA;43;VENDEDOR AMBULANTE;NI;ARMA DE FOGO;maio;26;segunda-feira;ADULTO;18;VESPERTINO
HOMICIDIO;NI;CANDELÁRIA;R SEN JOSE FERREIRA DE SOUZA Nº 1936;MASCULINO;BRANCA;78;APOSENTADO(A);NI;ARMA BRANCA;maio;20;terça-feira;IDOSO;NI;NI
LATROCINIO;15:19;CANDELÁRIA;EM FRENTE A SUA RESIDENCIA - R SANTA MARTA;MASCULINO;PARDA;70;FUNCIONARIO PUBLICO APOSENTADO;NI;ARMA DE FOGO;dezembro;7;domingo;IDOSO;15;VESPERTINO
HOMICIDIO;01:41;CAPIM MACIO;R PIGNATARO Nº 1963;MASCULINO;BRANCA;41;TECNICO EM ELETRONICA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;maio;2;sexta-feira;ADULTO;2;MADRUGADA
LATROCINIO;01:48;CAPIM MACIO;NA CALCADA DA PIZZARIA MOSTARDA BISTRO, R FRANCISCO PIGNATARO;MASCULINO;PARDA;43;POLICIAL MILITAR;SUPERIOR;ARMA DE FOGO;dezembro;19;sexta-feira;ADULTO;2;MADRUGADA
LESAO CORPORAL SEGUIDA DE MORTE;22:55;CIDADE ALTA;R MIRAMAR DO POTENGI, PACO DA PATRIA (*MORREU NO WALFREDO GURGEL);MASCULINO;PARDA;20;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;14;sexta-feira;ADULTO;23;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;21:27;CIDADE ALTA;NO VIADUTO DO BALDO, PROXIMO DE UM BAR;MASCULINO;NEGRA;48;PEDREIRO;ENSINO FUNDAMENTAL COMPLETO;OBJETO CONTUNDENTE;setembro;18;quinta-feira;ADULTO;21;NOTURNO
HOMICIDIO;NI;CIDADE ALTA;R OCIDENTAL DE BAIXO Nº 1185 - PACO DA PATRIA;MASCULINO;NEGRA;24;MOTOTAXISTA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;maio;22;quinta-feira;ADULTO;NI;NI
HOMICIDIO;01:09;CIDADE ALTA;R OCIDENTAL DE CIMA - PROXIMO AO RIO POTENGI;MASCULINO;PARDA;15;VENDEDOR DE LOJA;ENSINO MEDIO COMPLETO;ARMA DE FOGO;março;25;terça-feira;ADOLESCENTE;1;NOTURNO
HOMICIDIO;19:21;CIDADE ALTA;ENCONTRADO NO MANGUE DA R JOAQUIM ALVES (ANTIGA OCIDENTAL DE BAIXO), PACO DA PATRIA;MASCULINO;NEGRA;36;NI;NI;ARMA DE FOGO;julho;18;sexta-feira;ADULTO;19;NOTURNO
LATROCINIO;NI;CIDADE ALTA;PACO DA PATRIA;MASCULINO;NEGRA;54;NI;NI;ARMA DE FOGO;dezembro;18;quinta-feira;ADULTO;NI;NI
HOMICIDIO;19:36;CIDADE ALTA;PRACA DJALMA MARANHAO;MASCULINO;PARDA;27;DESOCUPADO(A);NI;ARMA DE FOGO;outubro;18;sábado;ADULTO;20;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;17:10;CIDADE ALTA;R MIRAMAR DO POTENGI, PACO DA PATRIA (*MORREU NO WALFREDO GURGEL);MASCULINO;PARDA;17;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;março;14;sexta-feira;ADOLESCENTE;17;VESPERTINO
HOMICIDIO;19:08;CIDADE ALTA;R OCIDENTAL DE BAIXO, PACO DA PATRIA;FEMININO;PARDA;16;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;outubro;21;terça-feira;ADOLESCENTE;19;NOTURNO
HOMICIDIO;18:00;CIDADE ALTA;R OCIDENTAL DE BAIXO, PACO DA PATRIA;MASCULINO;PARDA;16;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;outubro;21;terça-feira;ADOLESCENTE;18;VESPERTINO
HOMICIDIO;18:00;CIDADE ALTA;R PRINCESA IZABEL, CENTRO;MASCULINO;NEGRA;45;PESCADOR;NI;ARMA DE FOGO;agosto;29;sexta-feira;ADULTO;18;VESPERTINO
HOMICIDIO;14:51;CIDADE DA ESPERANÇA;FEIRA LIVRE;MASCULINO;BRANCA;56;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;fevereiro;2;domingo;ADULTO;15;VESPERTINO
HOMICIDIO;NI;CIDADE DA ESPERANÇA;AV CAP MOR GOUVEIA;FEMININO;BRANCA;32;DO LAR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;janeiro;1;quarta-feira;ADULTO;NI;NI
HOMICIDIO;NI;CIDADE DA ESPERANÇA;BAR DO ESPETINHO DO GALEGO;MASCULINO;NEGRA;19;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;maio;20;terça-feira;ADULTO;NI;NI
HOMICIDIO;NI;CIDADE DA ESPERANÇA;COLEGIO ESTADUAL RAIMUNDO SOARES;MASCULINO;BRANCA;16;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;abril;23;quarta-feira;ADOLESCENTE;NI;NI
HOMICIDIO;19:18;CIDADE DA ESPERANÇA;TV PINHEIRO - FAVELA DO DETRAN;MASCULINO;BRANCA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;25;terça-feira;ADOLESCENTE;19;NOTURNO
HOMICIDIO;21:27;CIDADE DA ESPERANÇA;TV PINHEIRO -FAVELA DO DETRAN;MASCULINO;NEGRA;17;ESTUDANTE B;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;25;terça-feira;ADOLESCENTE;21;NOTURNO
HOMICIDIO;19:44;CIDADE DA ESPERANÇA;AV CAP MOR GOUVEIA;MASCULINO;PARDA;23;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;fevereiro;16;domingo;ADULTO;20;NOTURNO
HOMICIDIO;18:00;CIDADE DA ESPERANÇA;NI;MASCULINO;NEGRA;18;GARCOM;ENSINO MEDIO COMPLETO;ARMA DE FOGO;agosto;9;sábado;ADULTO;18;VESPERTINO
HOMICIDIO;20:41;CIDADE DA ESPERANÇA;R MANOEL CASTRO;MASCULINO;PARDA;48;NI;NI;ARMA BRANCA;novembro;30;domingo;ADULTO;21;NOTURNO
HOMICIDIO;NI;CIDADE DA ESPERANÇA;R CORTEZ PEREIRA;MASCULINO;PARDA;21;NI;NI;ARMA DE FOGO;dezembro;18;quinta-feira;ADULTO;NI;NI
HOMICIDIO;23:57;CIDADE DA ESPERANÇA;R FELISMINO NETO, FAVELA DO DETRAN;MASCULINO;NEGRA;25;NI;NI;ARMA DE FOGO;junho;16;segunda-feira;ADULTO;24;NOTURNO
HOMICIDIO;23:51;CIDADE DA ESPERANÇA;R RIO GRANDE DO SUL, NA FRENTE DO DETRAN;MASCULINO;PARDA;45;DETENTO FUGITIVO;NI;ARMA DE FOGO;novembro;25;terça-feira;ADULTO;24;NOTURNO
HOMICIDIO;20:41;CIDADE DA ESPERANÇA;R SOUSA PROXIMO AO SUPERMERCADO COMPRE BEM;MASCULINO;PARDA;15;MENOR SEM OCUPACAO;NI;ARMA DE FOGO;outubro;28;terça-feira;ADOLESCENTE;21;NOTURNO
HOMICIDIO;12:50;CIDADE DA ESPERANÇA;AV RIO GRANDE DO SUL;MASCULINO;PARDA;65;APOSENTADO(A);NI;NAO IDENTIFICADO;novembro;30;domingo;IDOSO;13;VESPERTINO
HOMICIDIO;21:27;CIDADE NOVA;TV SANTO ANTONIO;MASCULINO;PARDA;24;SOLDADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;abril;26;sábado;ADULTO;21;NOTURNO
HOMICIDIO;18:00;CIDADE NOVA;R CABUGI;MASCULINO;NEGRA;19;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;abril;20;domingo;ADULTO;18;VESPERTINO
HOMICIDIO;07:41;CIDADE NOVA;VIA PUBLICA;FEMININO;BRANCA;32;COBRADOR(A) EM COLETIVOS;ENSINO MEDIO COMPLETO;ARMA BRANCA;dezembro;17;quarta-feira;ADULTO;8;MATUTINO
HOMICIDIO;16:10;CIDADE NOVA;R SANTO AMARO Nº 435;MASCULINO;PARDA;27;DESOCUPADO(A);NI;ARMA BRANCA;fevereiro;22;sábado;ADULTO;16;VESPERTINO
ESTUPRO SEGUIDO DE MORTE;NI;CIDADE NOVA;TV SAO JERONIMO - 27;FEMININO;PARDA;29;NI;NI;NAO IDENTIFICADO;outubro;27;segunda-feira;ADULTO;NI;NI
HOMICIDIO;21:37;DIX-SEPT ROSADO;TV SANTO APOLO Nº 97;MASCULINO;PARDA;20;AUXILIAR DE MECANICO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;fevereiro;9;domingo;ADULTO;22;NOTURNO
HOMICIDIO;19:44;DIX-SEPT ROSADO;AV 06 - PROXIMO A LIGA CONTRA O CANCER;MASCULINO;PARDA;49;VIGILANTE;ENSINO MEDIO COMPLETO;ARMA BRANCA;maio;9;sexta-feira;ADULTO;20;NOTURNO
HOMICIDIO;21:27;DIX-SEPT ROSADO;TV DR VIANA ;MASCULINO;PARDA;23;VIGILANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;fevereiro;23;domingo;ADULTO;21;NOTURNO
HOMICIDIO;18:00;DIX-SEPT ROSADO;AV CEL ESTEVAM;MASCULINO;PARDA;34;NI;NI;ARMA DE FOGO;novembro;20;quinta-feira;ADULTO;18;VESPERTINO
HOMICIDIO;18:00;DIX-SEPT ROSADO;AV CEL ESTEVAM;MASCULINO;PARDA;37;NI;NI;ARMA DE FOGO;junho;22;domingo;ADULTO;18;VESPERTINO
HOMICIDIO;22:55;DIX-SEPT ROSADO;AV INTERVENTOR MARIO CAMARA;MASCULINO;NEGRA;22;DESEMPREGADO;NI;ARMA DE FOGO;julho;27;domingo;ADULTO;23;NOTURNO
HOMICIDIO;NI;DIX-SEPT ROSADO;CRUZAMENTO DAS AV CEL ESTEVAM COM NASCIMENTO DE CASTRO;MASCULINO;PARDA;39;APOSENTADO(A);NI;ARMA DE FOGO;março;21;sexta-feira;ADULTO;NI;NI
HOMICIDIO;18:50;DIX-SEPT ROSADO;ENCONTRADO NA 2A TV DA R SAO JOAO EM FRENTE AO Nº 15 ;MASCULINO;PARDA;32;DESOCUPADO(A);NI;ARMA DE FOGO;outubro;17;sexta-feira;ADULTO;19;NOTURNO
LESAO CORPORAL SEGUIDA DE MORTE;18:00;DIX-SEPT ROSADO;R DOS POTIGUARES (R MANOEL FELIPE);FEMININO;PARDA;20;DESOCUPADO(A);NI;ARMA DE FOGO;abril;21;segunda-feira;ADULTO;18;VESPERTINO
HOMICIDIO;19:10;DIX-SEPT ROSADO;R JOSE FERNANDES PROXIMO AO N° 10 VIA PUBLICA;MASCULINO;PARDA;18;DESOCUPADO(A);NI;ARMA DE FOGO;novembro;14;sexta-feira;ADULTO;19;NOTURNO
HOMICIDIO;13:23;DIX-SEPT ROSADO;R SAMPAIO CORREIA;MASCULINO;NEGRA;21;DESEMPREGADO;NI;ARMA DE FOGO;julho;31;quinta-feira;ADULTO;13;VESPERTINO
HOMICIDIO;18:00;DIX-SEPT ROSADO;TV CEL ESTEVAM Nº 46 A;MASCULINO;BRANCA;20;DESEMPREGADO;NI;ARMA DE FOGO;fevereiro;9;domingo;ADULTO;18;VESPERTINO
HOMICIDIO;11:32;DIX-SEPT ROSADO;TV DOS CAICOS;MASCULINO;NEGRA;21;NI;NI;ARMA DE FOGO;novembro;15;sábado;ADULTO;12;MATUTINO
LATROCINIO;18:00;FELIPE CAMARÃO;AV BRASIL;MASCULINO;NEGRA;27;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA BRANCA;janeiro;1;quarta-feira;ADULTO;18;VESPERTINO
HOMICIDIO;17:09;FELIPE CAMARÃO;EM FRENTE AO ANTIGO LEPROSARIO -CJ PRAIA MAR;MASCULINO;BRANCA;35;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;abril;5;sábado;ADULTO;17;VESPERTINO
HOMICIDIO;19:21;FELIPE CAMARÃO;FAVELA DO FIO;MASCULINO;BRANCA;32;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;1;sábado;ADULTO;19;NOTURNO
HOMICIDIO;20:55;FELIPE CAMARÃO;R JOAO MIRANDA DA SILVA Nº 257 LC;MASCULINO;NEGRA;20;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;janeiro;1;quarta-feira;ADULTO;21;NOTURNO
HOMICIDIO;NI;FELIPE CAMARÃO;R MAE E CEU;MASCULINO;NEGRA;32;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;julho;17;quinta-feira;ADULTO;NI;NI
HOMICIDIO;22:34;FELIPE CAMARÃO;R MIRAI - EM FRENTE A ELETRONICA DE JANILSON;MASCULINO;NEGRA;23;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;maio;24;sábado;ADULTO;23;NOTURNO
HOMICIDIO;18:00;FELIPE CAMARÃO;R OTAVIO RODRIGUES ;MASCULINO;BRANCA;24;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;abril;4;sexta-feira;ADULTO;18;VESPERTINO
HOMICIDIO;21:48;FELIPE CAMARÃO;R PROF. ANTONIO TRIGUEIRO;MASCULINO;BRANCA;45;ASG;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;18;terça-feira;ADULTO;22;NOTURNO
HOMICIDIO;16:12;FELIPE CAMARÃO;R PROF. ANTONIO TRIGUEIRO;MASCULINO;NEGRA;19;ENTREGADOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;17;segunda-feira;ADULTO;16;VESPERTINO
HOMICIDIO;01:38;FELIPE CAMARÃO;R RAINHA DO MAR LC;MASCULINO;NEGRA;21;SERVENTE DE OBRAS;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;janeiro;13;segunda-feira;ADULTO;2;MADRUGADA
LATROCINIO;21:27;FELIPE CAMARÃO;R SANTA CLARA - CURRAL EM BAIXO DO FIO;MASCULINO;BRANCA;32;PINTOR;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;maio;7;quarta-feira;ADULTO;21;NOTURNO
HOMICIDIO;20:44;FELIPE CAMARÃO;R SAO JOSE VP;MASCULINO;PARDA;29;ACOUGUEIRO(A);ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;fevereiro;1;sábado;ADULTO;21;NOTURNO
HOMICIDIO;17:59;FELIPE CAMARÃO;TV PINHEIRO;MASCULINO;BRANCA;23;VENDEDOR AUTONOMO;ENSINO FUNDAMENTAL COMPLETO;ARMA DE FOGO;março;8;sábado;ADULTO;18;VESPERTINO
HOMICIDIO;NI;FELIPE CAMARÃO;R SILVA;MASCULINO;NEGRA;34;ASG;ENSINO FUNDAMENTAL COMPLETO;ESPANCAMENTO;março;29;sábado;ADULTO;NI;NI
HOMICIDIO;23:57;FELIPE CAMARÃO;R DA FE;MASCULINO;NEGRA;20;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;julho;17;quinta-feira;ADULTO;24;NOTURNO
HOMICIDIO;19:50;FELIPE CAMARÃO;R JOAO MIRANDA DA SILVA COM A TV PROFESSOR ROBERTO CAMPOS;MASCULINO;NEGRA;18;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;dezembro;11;quinta-feira;ADULTO;20;NOTURNO
HOMICIDIO;09:58;FELIPE CAMARÃO;R MARISTELA ALVES Nº 465 LC;MASCULINO;NEGRA;53;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;janeiro;3;sexta-feira;ADULTO;10;MATUTINO
HOMICIDIO;23:35;FELIPE CAMARÃO;R PADRE CICERO;MASCULINO;NEGRA;48;COMERCIANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;agosto;22;sexta-feira;ADULTO;24;NOTURNO
HOMICIDIO;20:00;FELIPE CAMARÃO;R PEDRINHO BEZERRA VP;MASCULINO;BRANCA;34;MECANICO(A);ENSINO MEDIO COMPLETO;ARMA DE FOGO;janeiro;1;quarta-feira;ADULTO;20;NOTURNO
HOMICIDIO;18:00;FELIPE CAMARÃO;R RAINHA DO MAR;MASCULINO;NEGRA;20;VIGILANTE;ENSINO MEDIO COMPLETO;ARMA DE FOGO;dezembro;28;domingo;ADULTO;18;VESPERTINO
HOMICIDIO;20:18;FELIPE CAMARÃO;R SAO SEBASTIAO;MASCULINO;PARDA;18;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;maio;9;sexta-feira;ADULTO;20;NOTURNO
HOMICIDIO;NI;FELIPE CAMARÃO;R SAO SEBASTIAO, VILA SAO JOAO, 05;FEMININO;PARDA;15;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;julho;2;quarta-feira;ADOLESCENTE;NI;NI
HOMICIDIO;23:35;FELIPE CAMARÃO;TV NOSSA DRA DO CARMO;MASCULINO;NEGRA;25;ENCANADOR;ENSINO MEDIO COMPLETO;ARMA DE FOGO;setembro;23;terça-feira;ADULTO;24;NOTURNO
HOMICIDIO;NI;FELIPE CAMARÃO;VIA PUBLICA;MASCULINO;PARDA;15;ESTUDANTE C;ENSINO MEDIO COMPLETO;ARMA DE FOGO;abril;16;quarta-feira;ADOLESCENTE;NI;NI
HOMICIDIO;21:27;FELIPE CAMARÃO;2ª TV SAO DOMINGOS;MASCULINO;BRANCA;23;NI;NI;ARMA DE FOGO;abril;6;domingo;ADULTO;21;NOTURNO
HOMICIDIO;14:18;FELIPE CAMARÃO;AV GOV ANTONIO DE MELO DE SOUZA;MASCULINO;NEGRA;20;NI;NI;ARMA DE FOGO;junho;24;terça-feira;ADULTO;14;VESPERTINO
HOMICIDIO;NI;FELIPE CAMARÃO;"LOCALIDADE CONHECIDA COMO""CIDADE DE DEUS""";MASCULINO;NEGRA;22;NI;NI;ARMA DE FOGO;novembro;20;quinta-feira;ADULTO;NI;NI
HOMICIDIO;19:08;FELIPE CAMARÃO;NA CALCADA DO BAR DO TONHO;MASCULINO;NEGRA;40;NI;NI;ARMA DE FOGO;junho;22;domingo;ADULTO;19;NOTURNO
HOMICIDIO;20:17;FELIPE CAMARÃO;POR TRAS DA R MARLIN, CONJUNTO CIDADE DE DEUS ( PRAIAMAR);MASCULINO;NEGRA;26;NI;NI;ARMA DE FOGO;junho;17;terça-feira;ADULTO;20;NOTURNO
INFANTICIDIO;NI;FELIPE CAMARÃO;R DA FE (BEBE DE SETE MESES QUE FOI FERIDO NO DIA 12/6/14 CONFORME PLANILHA DE TENTATIVAS E FALECEU NA DATA DE HOJE NO HOSPITAL WALFREDO GURGEL);MASCULINO;PARDA;1;MENOR DEPENDENTE;NI;ARMA DE FOGO;junho;17;terça-feira;CRIANÇA;NI;NI
HOMICIDIO;01:30;FELIPE CAMARÃO;R DO FIO;MASCULINO;NEGRA;21;DESEMPREGADO;NI;ARMA DE FOGO;abril;13;domingo;ADULTO;2;MADRUGADA
HOMICIDIO;05:44;FELIPE CAMARÃO;R JOANA DARC;MASCULINO;NEGRA;24;NI;NI;ARMA DE FOGO;outubro;27;segunda-feira;ADULTO;6;MADRUGADA
HOMICIDIO;20:41;FELIPE CAMARÃO;R MANOEL MACHADO ;MASCULINO;PARDA;34;EX DETENTO DESOCUPADO;NI;ARMA DE FOGO;outubro;23;quinta-feira;ADULTO;21;NOTURNO
HOMICIDIO;22:57;FELIPE CAMARÃO;R MARIA GORETH, COMUNIDADE DO FIO;FEMININO;NEGRA;21;NI;NI;ARMA DE FOGO;junho;11;quarta-feira;ADULTO;23;NOTURNO
HOMICIDIO;18:00;FELIPE CAMARÃO;R OESTE;MASCULINO;NEGRA;25;DESEMPREGADO;NI;ARMA DE FOGO;fevereiro;8;sábado;ADULTO;18;VESPERTINO
